phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
1538_0,Major dietary changes in the last 5 years: No,both_sexes,0.0273,0.002,0.0442,0.0033,42.0,1.06,0.0085,0.2193 (0.0294),1.25,1.29,61.44,900,360294,221368.0,138926.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1538,"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?"""
20111_100,Illnesses of siblings: None of the above (group 1),both_sexes,0.0269,0.0022,0.0456,0.0037,33.95,1.04,0.0074,0.1846 (0.0334),1.19,1.22,67.72,79215,281979,190969.0,91010.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~."
20550_1,"Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT",both_sexes,0.0268,0.0043,0.0677,0.0108,9.64,1.01,0.0067,0.1168 (0.0919),1.07,1.07,12.99,262204,98990,12858.0,86132.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20550,"Question asked: ""Did you ever try talking therapies for these problems, or other structured activities you regard as therapeutic? Include only those you attended more than once."" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months."
20002_1220,"Non-cancer illness code, self-reported: diabetes",both_sexes,0.0266,0.0022,0.1398,0.0114,33.23,1.07,0.0106,0.2493 (0.0357),1.22,1.3,3.91,53,361141,14114.0,347027.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20533,Trouble falling asleep,both_sexes,0.0266,0.0097,0.0501,0.0183,2.52,1.0,0.006999999999999999,0.1226 (0.2101),1.03,1.03,75.74,315654,45540,34491.0,11049.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20533,"Question asked: ""Was that: [re sleep change] Trouble falling asleep"" Question was asked when ~F20532~ was Yes."
6164_5,"Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)",both_sexes,0.0264,0.0016,0.0419,0.0025,60.74,1.03,0.0074,0.114 (0.0312),1.21,1.24,43.59,1931,359263,156597.0,202666.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164,"ACE touchscreen question ""In the last 4 weeks did you spend any time doing the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Strenuous sports include sports that make you sweat or breathe hard. Heavy DIY includes chopping wood, home or car maintenance, lifting heavy objects or using heavy tools. "
20435,Difficulty concentrating during worst depression,both_sexes,0.0263,0.0082,0.0522,0.0163,3.17,1.01,0.0066,0.1885 (0.1567),1.04,1.04,78.77,302444,58750,46278.0,12472.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20435,"Question asked: ""Did you have a lot more trouble concentrating than usual?"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
6160_1,Leisure/social activities: Sports club or gym,both_sexes,0.0262,0.0019,0.0454,0.0033,42.83,1.05,0.0084,0.1815 (0.0323),1.23,1.26,30.13,1131,360063,108473.0,251590.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If this varies, please think about activities in the last year. "
3751,Chest pain or discomfort when walking uphill or hurrying,both_sexes,0.0262,0.0086,0.0474,0.0156,2.94,1.02,0.0063,0.4012 (0.1271),1.06,1.05,26.61,316327,44867,11938.0,32929.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3751,"ACE touchscreen question ""Do you get this pain or discomfort when you walk uphill or hurry?"" ~F3751~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~ but they do not get this pain when they walk at an ordinary pace on the level, as defined by their answers to ~F2335~"
6160_100,Leisure/social activities: None of the above,both_sexes,0.0261,0.002,0.0453,0.0034,38.5,1.05,0.0081,0.1944 (0.0299),1.24,1.27,30.19,1131,360063,108704.0,251359.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If this varies, please think about activities in the last year. "
6160_2,Leisure/social activities: Pub or social club,both_sexes,0.0261,0.0017,0.0468,0.0031,52.77,1.04,0.0077,0.1539 (0.0299),1.22,1.26,27.36,1131,360063,98499.0,261564.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If this varies, please think about activities in the last year. "
6157_100,Why stopped smoking: None of the above,both_sexes,0.0258,0.0045,0.0525,0.0092,8.31,1.01,0.0062,0.1301 (0.1004),1.06,1.06,20.05,272678,88516,17748.0,70768.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6157,"ACE touchscreen question ""Why did you stop smoking? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. ~F6157~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~ and that during the time they smoked they stopped for more than 6 months, as defined by their answers to ~F1249~"
2335,Chest pain or discomfort,both_sexes,0.0254,0.0018,0.0581,0.0042,44.79,1.04,0.0075,0.1694 (0.0298),1.21,1.25,15.73,3687,357507,56233.0,301274.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2335,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
20548_2,Manifestations of mania or irritability: I was more restless than usual,both_sexes,0.0252,0.0042,0.069,0.0115,9.01,1.01,0.0062,0.0968 (0.0815),1.07,1.08,11.25,246772,114422,12876.0,101546.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548,"Question asked: ""Please try to remember a period when you were in a ""high"" or ""irritable"" state and select all of the following that apply:"" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes."
20543,Number of things worried about during worst period of anxiety,both_sexes,0.025,0.0094,0.0396,0.0149,2.41,0.99,0.0059,0,1.02,1.01,43.99,325636,35558,15643.0,19915.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20543,"Question asked: ""Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. Did you usually worry about one particular thing, such as your job security or the failing health of a loved one, or more than one thing?"" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months."
680_1,Own or rent accommodation lived in: Own outright (by you or someone in your household),both_sexes,0.0246,0.0017,0.0388,0.0027,47.03,1.04,0.008,0.1603 (0.0339),1.21,1.24,54.26,4854,356340,193358.0,162982.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?"" If the participant activated the Help button they were shown the message: Please select: - Own outright if you or someone in your household owns the accommodation that you live in. - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in. ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~"
6146_100,Attendance/disability/mobility allowance: None of the above,both_sexes,0.0244,0.0019,0.0992,0.0079,37.32,1.04,0.0085,0.1571 (0.0352),1.21,1.24,94.22,2597,358597,337879.0,20718.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146,"ACE touchscreen question ""Do you receive any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Only select a response if you personally receive the benefit. Do not include if your spouse or someone in your household receives one of these benefits. "
6159_3,Pain type(s) experienced in last month: Neck or shoulder pain,both_sexes,0.0243,0.0018,0.0469,0.0036,41.11,1.05,0.0082,0.201 (0.0324),1.22,1.25,22.79,803,360391,82120.0,278271.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159,"ACE touchscreen question ""In the last month have you experienced any of the following that interfered with your usual activites? (You can select more than one answer)"" The following checks were performed: If code 8 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
I9_IHD,"Ischaemic heart disease, wide definition",both_sexes,0.024,0.0023,0.0978,0.0095,25.07,1.06,0.0085,0.2111 (0.0324),1.19,1.26,5.77,0,361194,20857.0,340337.0,,
6145_6,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties",both_sexes,0.0239,0.0018,0.0652,0.0048,39.81,1.04,0.0079,0.1866 (0.0329),1.21,1.24,11.33,2358,358836,40670.0,318166.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,"ACE touchscreen question ""In the last 2 years have you experienced any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
20003_2038460150,Treatment/medication code: paracetamol,both_sexes,0.0237,0.0019,0.0504,0.004,35.28,1.05,0.0082,0.2092 (0.0327),1.22,1.25,18.37,53,361141,66347.0,294794.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003,Code for treatment Negative codes indicate free-text entry.
6162_2,Types of transport used (excluding work): Walk,both_sexes,0.0235,0.0019,0.0369,0.0031,34.71,1.06,0.0087,0.2329 (0.034),1.23,1.25,49.24,1870,359324,176934.0,182390.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6162,"ACE touchscreen question ""In the last 4 weeks, which forms of transport have you used most often to get about? (Not including any journeys to and from work; you can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Remember not to include journeys to and from work. ~F6162~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~"
